epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.10736268758773804,2.3039777278900146,,
0,99,0.11020360141992569,2.301886796951294,,
0,149,0.10108901560306549,2.302842855453491,,
0,199,0.10653409361839294,2.302539825439453,,
0,249,0.10901988297700882,2.3015952110290527,,
0,299,0.10641571879386902,2.302926540374756,,
0,349,0.10819128900766373,2.301715850830078,,
0,389,,,0.11028788983821869,2.301433801651001
1,399,0.10392992198467255,2.302651882171631,,
1,449,0.11399147659540176,2.3011667728424072,,
1,499,0.11233428120613098,2.2972159385681152,,
1,549,0.12393465638160706,2.291489601135254,,
1,599,0.12085700780153275,2.2895243167877197,,
1,649,0.13435132801532745,2.276905059814453,,
1,699,0.1336410939693451,2.2739033699035645,,
1,749,0.1310369372367859,2.2748353481292725,,
1,779,,,0.1328030377626419,2.272836685180664
2,799,0.13766571879386902,2.269348382949829,,
2,849,0.1440577656030655,2.267645835876465,,
2,899,0.14133523404598236,2.2655394077301025,,
2,949,0.14346590638160706,2.2577574253082275,,
2,999,0.14050662517547607,2.257443428039551,,
2,1049,0.13707385957241058,2.256619930267334,,
2,1099,0.13612689077854156,2.2609291076660156,,
2,1149,0.1414535939693451,2.251697063446045,,
2,1169,,,0.1401212066411972,2.256948232650757
3,1199,0.1341145783662796,2.259509801864624,,
3,1249,0.13636364042758942,2.251767873764038,,
3,1299,0.1440577656030655,2.2504777908325195,,
3,1349,0.1384943127632141,2.249384880065918,,
3,1399,0.1466619372367859,2.2435131072998047,,
